entropy,participant,block,condition,category,ent_norm
2,bi,2,Recall,green,1
1.5,bi,2,Recall,purple,0.75
1.5,bi,2,Recall,red,0.75
2,bi,3,Recall,blue,1
1.5,bi,3,Recall,green,0.75
1.5,bi,3,Recall,purple,0.75
2,bi,3,Recall,red,1
1.5,cb,0,Dialogue,blue,0.75
0.811278124,cb,0,Dialogue,green,0.405639062
1.5,cb,0,Dialogue,purple,0.75
1.5,cb,0,Dialogue,red,0.75
0,cb,1,Dialogue,blue,0
0,cb,1,Dialogue,green,0
0,cb,1,Dialogue,purple,0
0,cb,1,Dialogue,red,0
0,cb,2,Dialogue,blue,0
0,cb,2,Dialogue,green,0
0,cb,2,Dialogue,purple,0
0,cb,2,Dialogue,red,0
0,cb,3,Dialogue,blue,0
0,cb,3,Dialogue,green,0
0,cb,3,Dialogue,purple,0
0,cb,3,Dialogue,red,0
0.811278124,cc,0,Dialogue,blue,0.405639062
0.811278124,cc,0,Dialogue,green,0.405639062
2,cc,0,Dialogue,purple,1
1.5,cc,0,Dialogue,red,0.75
0,cc,1,Dialogue,blue,0
0,cc,1,Dialogue,green,0
0,cc,1,Dialogue,purple,0
0,cc,1,Dialogue,red,0
0,cc,2,Dialogue,blue,0
0,cc,2,Dialogue,green,0
0,cc,2,Dialogue,purple,0
0,cc,2,Dialogue,red,0
0,cc,3,Dialogue,blue,0
0,cc,3,Dialogue,green,0
0,cc,3,Dialogue,purple,0
0.811278124,cc,3,Dialogue,red,0.405639062
1.5,cd,0,Dialogue,blue,0.75
0.811278124,cd,0,Dialogue,green,0.405639062
1,cd,0,Dialogue,purple,0.5
0.811278124,cd,0,Dialogue,red,0.405639062
0,cd,1,Dialogue,blue,0
0.811278124,cd,1,Dialogue,green,0.405639062
0,cd,1,Dialogue,purple,0
0,cd,1,Dialogue,red,0
0,cd,2,Dialogue,blue,0
0,cd,2,Dialogue,green,0
0.811278124,cd,2,Dialogue,purple,0.405639062
0,cd,2,Dialogue,red,0
0,cd,3,Dialogue,blue,0
0,cd,3,Dialogue,green,0
0,cd,3,Dialogue,purple,0
0,cd,3,Dialogue,red,0
1,ce,0,Dialogue,blue,0.5
0.811278124,ce,0,Dialogue,green,0.405639062
2,ce,0,Dialogue,purple,1
2,ce,0,Dialogue,red,1
0,ce,1,Dialogue,blue,0
0,ce,1,Dialogue,green,0
0,ce,1,Dialogue,purple,0
0,ce,1,Dialogue,red,0
0,ce,2,Dialogue,blue,0
0,ce,2,Dialogue,green,0
0.811278124,ce,2,Dialogue,purple,0.405639062
0,ce,2,Dialogue,red,0
0,ce,3,Dialogue,blue,0
0,ce,3,Dialogue,green,0
0,ce,3,Dialogue,purple,0
0,ce,3,Dialogue,red,0
2,cf,0,Dialogue,blue,1
1,cf,0,Dialogue,green,0.5
1.5,cf,0,Dialogue,purple,0.75
0.811278124,cf,0,Dialogue,red,0.405639062
0,cf,1,Dialogue,blue,0
0,cf,1,Dialogue,green,0
0,cf,1,Dialogue,purple,0
0,cf,1,Dialogue,red,0
0,cf,2,Dialogue,blue,0
0,cf,2,Dialogue,green,0
0,cf,2,Dialogue,purple,0
0,cf,2,Dialogue,red,0
0,cf,3,Dialogue,blue,0
0,cf,3,Dialogue,green,0
0,cf,3,Dialogue,purple,0
0,cf,3,Dialogue,red,0
0,cg,0,Dialogue,blue,0
0.811278124,cg,0,Dialogue,green,0.405639062
0,cg,0,Dialogue,purple,0
0,cg,0,Dialogue,red,0
0,cg,1,Dialogue,blue,0
0,cg,1,Dialogue,green,0
0,cg,1,Dialogue,purple,0
0,cg,1,Dialogue,red,0
0,cg,2,Dialogue,blue,0
0,cg,2,Dialogue,green,0
0,cg,2,Dialogue,purple,0
0,cg,2,Dialogue,red,0
0,cg,3,Dialogue,blue,0
0,cg,3,Dialogue,green,0
0,cg,3,Dialogue,purple,0
0,cg,3,Dialogue,red,0
2,ch,0,Dialogue,blue,1
0,ch,0,Dialogue,green,0
0,ch,0,Dialogue,purple,0
0,ch,0,Dialogue,red,0
0,ch,1,Dialogue,blue,0
0,ch,1,Dialogue,green,0
0,ch,1,Dialogue,purple,0
0.811278124,ch,1,Dialogue,red,0.405639062
0,ch,2,Dialogue,blue,0
0,ch,2,Dialogue,green,0
0,ch,2,Dialogue,purple,0
0,ch,2,Dialogue,red,0
0,ch,3,Dialogue,blue,0
0,ch,3,Dialogue,green,0
0,ch,3,Dialogue,purple,0
0,ch,3,Dialogue,red,0
0,ci,0,Dialogue,blue,0
0,ci,0,Dialogue,green,0
0,ci,0,Dialogue,purple,0
0.811278124,ci,0,Dialogue,red,0.405639062
0,ci,1,Dialogue,blue,0
0,ci,1,Dialogue,green,0
0,ci,1,Dialogue,purple,0
0,ci,1,Dialogue,red,0
0,ci,2,Dialogue,blue,0
0,ci,2,Dialogue,green,0
0,ci,2,Dialogue,purple,0
0,ci,2,Dialogue,red,0
0,ci,3,Dialogue,blue,0
0,ci,3,Dialogue,green,0
0,ci,3,Dialogue,purple,0
0,ci,3,Dialogue,red,0
1.5,cj,0,Dialogue,blue,0.75
1.5,cj,0,Dialogue,green,0.75
1.5,cj,0,Dialogue,purple,0.75
2,cj,0,Dialogue,red,1
2,cj,1,Dialogue,blue,1
1.5,cj,1,Dialogue,green,0.75
2,cj,1,Dialogue,purple,1
1.5,cj,1,Dialogue,red,0.75
2,cj,2,Dialogue,blue,1
2,cj,2,Dialogue,green,1
1.5,cj,2,Dialogue,purple,0.75
2,cj,2,Dialogue,red,1
1.5,cj,3,Dialogue,blue,0.75
2,cj,3,Dialogue,green,1
2,cj,3,Dialogue,purple,1
1.5,cj,3,Dialogue,red,0.75
0,ck,0,Dialogue,blue,0
0,ck,0,Dialogue,green,0
0.811278124,ck,0,Dialogue,purple,0.405639062
1.5,ck,0,Dialogue,red,0.75
0,ck,1,Dialogue,blue,0
0,ck,1,Dialogue,green,0
0,ck,1,Dialogue,purple,0
0,ck,1,Dialogue,red,0
0,ck,2,Dialogue,blue,0
0,ck,2,Dialogue,green,0
0,ck,2,Dialogue,purple,0
0,ck,2,Dialogue,red,0
0,ck,3,Dialogue,blue,0
0,ck,3,Dialogue,green,0
0,ck,3,Dialogue,purple,0
0,ck,3,Dialogue,red,0
0.811278124,da,0,Correspondence,blue,0.405639062
1.5,da,0,Correspondence,green,0.75
1,da,0,Correspondence,purple,0.5
1,da,0,Correspondence,red,0.5
0.811278124,da,1,Correspondence,blue,0.405639062
1.5,da,1,Correspondence,green,0.75
1,da,1,Correspondence,purple,0.5
1.5,da,1,Correspondence,red,0.75
0,da,2,Correspondence,blue,0
1,da,2,Correspondence,green,0.5
1,da,2,Correspondence,purple,0.5
1,da,2,Correspondence,red,0.5
0.811278124,da,3,Correspondence,blue,0.405639062
1.5,da,3,Correspondence,green,0.75
0.811278124,da,3,Correspondence,purple,0.405639062
1,da,3,Correspondence,red,0.5
0.811278124,db,0,Correspondence,blue,0.405639062
2,db,0,Correspondence,green,1
2,db,0,Correspondence,purple,1
1.5,db,0,Correspondence,red,0.75
0,db,1,Correspondence,blue,0
2,db,1,Correspondence,green,1
2,db,1,Correspondence,purple,1
2,db,1,Correspondence,red,1
0,db,2,Correspondence,blue,0
0.811278124,db,2,Correspondence,green,0.405639062
1.5,db,2,Correspondence,purple,0.75
1.5,db,2,Correspondence,red,0.75
0,db,3,Correspondence,blue,0
0.811278124,db,3,Correspondence,green,0.405639062
0.811278124,db,3,Correspondence,purple,0.405639062
0.811278124,db,3,Correspondence,red,0.405639062
2,dc,0,Correspondence,blue,1
2,dc,0,Correspondence,green,1
2,dc,0,Correspondence,purple,1
2,dc,0,Correspondence,red,1
1,dc,1,Correspondence,blue,0.5
1,dc,1,Correspondence,green,0.5
1.5,dc,1,Correspondence,purple,0.75
1,dc,1,Correspondence,red,0.5
1.5,dc,2,Correspondence,blue,0.75
0.811278124,dc,2,Correspondence,green,0.405639062
1.5,dc,2,Correspondence,purple,0.75
0.811278124,dc,2,Correspondence,red,0.405639062
1.5,dc,3,Correspondence,blue,0.75
0.811278124,dc,3,Correspondence,green,0.405639062
1.5,dc,3,Correspondence,purple,0.75
1,dc,3,Correspondence,red,0.5
0.811278124,dd,0,Correspondence,blue,0.405639062
2,dd,0,Correspondence,green,1
0.811278124,dd,0,Correspondence,purple,0.405639062
1.5,dd,0,Correspondence,red,0.75
1.5,dd,1,Correspondence,blue,0.75
1.5,dd,1,Correspondence,green,0.75
1.5,dd,1,Correspondence,purple,0.75
0.811278124,dd,1,Correspondence,red,0.405639062
0,dd,2,Correspondence,blue,0
0,dd,2,Correspondence,green,0
0.811278124,dd,2,Correspondence,purple,0.405639062
0,dd,2,Correspondence,red,0
0,dd,3,Correspondence,blue,0
0,dd,3,Correspondence,green,0
0,dd,3,Correspondence,purple,0
0,dd,3,Correspondence,red,0
2,de,0,Correspondence,blue,1
2,de,0,Correspondence,green,1
2,de,0,Correspondence,purple,1
1.5,de,0,Correspondence,red,0.75
0.811278124,de,1,Correspondence,blue,0.405639062
2,de,1,Correspondence,green,1
2,de,1,Correspondence,purple,1
0.811278124,de,1,Correspondence,red,0.405639062
1,de,2,Correspondence,blue,0.5
2,de,2,Correspondence,green,1
2,de,2,Correspondence,purple,1
1.5,de,2,Correspondence,red,0.75
1.5,de,3,Correspondence,blue,0.75
1.5,de,3,Correspondence,green,0.75
2,de,3,Correspondence,purple,1
1.5,de,3,Correspondence,red,0.75
1.5,df,0,Correspondence,blue,0.75
2,df,0,Correspondence,green,1
2,df,0,Correspondence,purple,1
1.5,df,0,Correspondence,red,0.75
0.811278124,df,1,Correspondence,blue,0.405639062
1,df,1,Correspondence,green,0.5
1.5,df,1,Correspondence,purple,0.75
1.5,df,1,Correspondence,red,0.75
1,df,2,Correspondence,blue,0.5
1.5,df,2,Correspondence,green,0.75
2,df,2,Correspondence,purple,1
0,df,2,Correspondence,red,0
1,df,3,Correspondence,blue,0.5
2,df,3,Correspondence,green,1
1,df,3,Correspondence,purple,0.5
0.811278124,df,3,Correspondence,red,0.405639062
2,dg,0,Correspondence,blue,1
2,dg,0,Correspondence,green,1
2,dg,0,Correspondence,purple,1
2,dg,0,Correspondence,red,1
2,dg,1,Correspondence,blue,1
1.5,dg,1,Correspondence,green,0.75
2,dg,1,Correspondence,purple,1
1.5,dg,1,Correspondence,red,0.75
0.811278124,dg,2,Correspondence,blue,0.405639062
1.5,dg,2,Correspondence,green,0.75
1.5,dg,2,Correspondence,purple,0.75
2,dg,2,Correspondence,red,1
2,dg,3,Correspondence,blue,1
1.5,dg,3,Correspondence,green,0.75
2,dg,3,Correspondence,purple,1
1.5,dg,3,Correspondence,red,0.75
1.5,dh,0,Correspondence,blue,0.75
1.5,dh,0,Correspondence,green,0.75
1.5,dh,0,Correspondence,purple,0.75
1.5,dh,0,Correspondence,red,0.75
2,dh,1,Correspondence,blue,1
2,dh,1,Correspondence,green,1
2,dh,1,Correspondence,purple,1
0.811278124,dh,1,Correspondence,red,0.405639062
0.811278124,dh,2,Correspondence,blue,0.405639062
1.5,dh,2,Correspondence,green,0.75
1.5,dh,2,Correspondence,purple,0.75
1,dh,2,Correspondence,red,0.5
1.5,dh,3,Correspondence,blue,0.75
1.5,dh,3,Correspondence,green,0.75
0.811278124,dh,3,Correspondence,purple,0.405639062
1.5,dh,3,Correspondence,red,0.75
1,di,0,Correspondence,blue,0.5
1.5,di,0,Correspondence,green,0.75
2,di,0,Correspondence,purple,1
0,di,0,Correspondence,red,0
2,di,1,Correspondence,blue,1
1.5,di,1,Correspondence,green,0.75
1,di,1,Correspondence,purple,0.5
2,di,1,Correspondence,red,1
0,di,2,Correspondence,blue,0
0,di,2,Correspondence,green,0
1,di,2,Correspondence,purple,0.5
0,di,2,Correspondence,red,0
0.811278124,di,3,Correspondence,blue,0.405639062
0,di,3,Correspondence,green,0
1,di,3,Correspondence,purple,0.5
0,di,3,Correspondence,red,0
1.5,bj,0,Recall,blue,0.75
0,bj,0,Recall,green,0
2,bj,0,Recall,purple,1
1.5,bj,0,Recall,red,0.75
1.5,bj,1,Recall,blue,0.75
1.5,bj,1,Recall,green,0.75
2,bj,1,Recall,purple,1
1.5,bj,1,Recall,red,0.75
1.5,bj,2,Recall,blue,0.75
2,bj,2,Recall,green,1
2,bj,2,Recall,purple,1
2,bj,2,Recall,red,1
1.5,bj,3,Recall,blue,0.75
1.5,bj,3,Recall,green,0.75
1.5,bj,3,Recall,purple,0.75
2,bj,3,Recall,red,1
0,cl,0,Dialogue,blue,0
0,cl,0,Dialogue,green,0
0,cl,0,Dialogue,purple,0
0,cl,0,Dialogue,red,0
0,cl,1,Dialogue,blue,0
0,cl,1,Dialogue,green,0
0,cl,1,Dialogue,purple,0
0,cl,1,Dialogue,red,0
0,cl,2,Dialogue,blue,0
0,cl,2,Dialogue,green,0
0,cl,2,Dialogue,purple,0
0,cl,2,Dialogue,red,0
0,cl,3,Dialogue,blue,0
0,cl,3,Dialogue,green,0
0,cl,3,Dialogue,purple,0
0,cl,3,Dialogue,red,0
2,cm,0,Dialogue,blue,1
1,cm,0,Dialogue,green,0.5
2,cm,0,Dialogue,purple,1
2,cm,0,Dialogue,red,1
0,cm,1,Dialogue,blue,0
0,cm,1,Dialogue,green,0
0,cm,1,Dialogue,purple,0
0,cm,1,Dialogue,red,0
0.811278124,cm,2,Dialogue,blue,0.405639062
1.5,cm,2,Dialogue,green,0.75
0,cm,2,Dialogue,purple,0
1.5,cm,2,Dialogue,red,0.75
2,cm,3,Dialogue,blue,1
2,cm,3,Dialogue,green,1
2,cm,3,Dialogue,purple,1
1,cm,3,Dialogue,red,0.5
1.5,aj,0,Mnemonic,blue,0.75
2,aj,0,Mnemonic,green,1
2,aj,0,Mnemonic,purple,1
2,aj,0,Mnemonic,red,1
0,aj,1,Mnemonic,blue,0
0,aj,1,Mnemonic,green,0
0.811278124,aj,1,Mnemonic,purple,0.405639062
0,aj,1,Mnemonic,red,0
0,aj,2,Mnemonic,blue,0
0,aj,2,Mnemonic,green,0
0,aj,2,Mnemonic,purple,0
0,aj,2,Mnemonic,red,0
0,aj,3,Mnemonic,blue,0
0,aj,3,Mnemonic,green,0
0,aj,3,Mnemonic,purple,0
0,aj,3,Mnemonic,red,0
1.5,ak,0,Mnemonic,blue,0.75
1.5,ak,0,Mnemonic,green,0.75
0.811278124,ak,0,Mnemonic,purple,0.405639062
1.5,ak,0,Mnemonic,red,0.75
1,ak,1,Mnemonic,blue,0.5
1.5,ak,1,Mnemonic,green,0.75
1,ak,1,Mnemonic,purple,0.5
1,ak,1,Mnemonic,red,0.5
0.811278124,ak,2,Mnemonic,blue,0.405639062
0.811278124,ak,2,Mnemonic,green,0.405639062
0.811278124,ak,2,Mnemonic,purple,0.405639062
1,ak,2,Mnemonic,red,0.5
1,ak,3,Mnemonic,blue,0.5
0.811278124,ak,3,Mnemonic,green,0.405639062
1,ak,3,Mnemonic,purple,0.5
1,ak,3,Mnemonic,red,0.5
2,al,0,Mnemonic,blue,1
1.5,al,0,Mnemonic,green,0.75
2,al,0,Mnemonic,purple,1
1.5,al,0,Mnemonic,red,0.75
1.5,al,1,Mnemonic,blue,0.75
1.5,al,1,Mnemonic,green,0.75
2,al,1,Mnemonic,purple,1
1.5,al,1,Mnemonic,red,0.75
1.5,al,2,Mnemonic,blue,0.75
1.5,al,2,Mnemonic,green,0.75
1.5,al,2,Mnemonic,purple,0.75
1.5,al,2,Mnemonic,red,0.75
1.5,al,3,Mnemonic,blue,0.75
1.5,al,3,Mnemonic,green,0.75
1.5,al,3,Mnemonic,purple,0.75
1.5,al,3,Mnemonic,red,0.75
1.5,am,0,Mnemonic,blue,0.75
0.811278124,am,0,Mnemonic,green,0.405639062
1.5,am,0,Mnemonic,purple,0.75
1.5,am,0,Mnemonic,red,0.75
0.811278124,am,1,Mnemonic,blue,0.405639062
0.811278124,am,1,Mnemonic,green,0.405639062
1.5,am,1,Mnemonic,purple,0.75
1.5,am,1,Mnemonic,red,0.75
0.811278124,am,2,Mnemonic,blue,0.405639062
1,am,2,Mnemonic,green,0.5
1.5,am,2,Mnemonic,purple,0.75
1,am,2,Mnemonic,red,0.5
1.5,am,3,Mnemonic,blue,0.75
1.5,am,3,Mnemonic,green,0.75
1.5,am,3,Mnemonic,purple,0.75
0.811278124,am,3,Mnemonic,red,0.405639062
1.5,an,0,Mnemonic,blue,0.75
2,an,0,Mnemonic,green,1
0.811278124,an,0,Mnemonic,purple,0.405639062
1,an,0,Mnemonic,red,0.5
0.811278124,an,1,Mnemonic,blue,0.405639062
1,an,1,Mnemonic,green,0.5
1.5,an,1,Mnemonic,purple,0.75
1,an,1,Mnemonic,red,0.5
0.811278124,an,2,Mnemonic,blue,0.405639062
1,an,2,Mnemonic,green,0.5
0.811278124,an,2,Mnemonic,purple,0.405639062
1,an,2,Mnemonic,red,0.5
1.5,an,3,Mnemonic,blue,0.75
