target,distractor1,distractor2,distractor3,symbol,response,selected,context,trial,block,condition,participant,response.new,num.array,category
blue_2,green_2,red_2,purple_2,s1,correct,blue_2,c2,26,1,Mnemonic,ac,1,4,blue
blue_3,green_3,red_3,purple_3,s1,correct,blue_3,c3,27,1,Mnemonic,ac,1,4,blue
purple_2,blue_2,green_2,red_2,s4,correct,purple_2,c2,28,1,Mnemonic,ac,1,4,purple
green_2,blue_2,red_2,purple_2,s3,correct,green_2,c2,29,1,Mnemonic,ac,1,4,green
blue_1,green_1,red_1,purple_1,s1,correct,blue_1,c1,30,1,Mnemonic,ac,1,4,blue
red_1,blue_1,green_1,purple_1,s2,correct,red_1,c1,31,1,Mnemonic,ac,1,4,red
red_3,blue_3,green_3,purple_3,s2,correct,red_3,c3,32,2,Mnemonic,ac,1,4,red
purple_3,blue_3,green_3,red_3,s4,correct,purple_3,c3,33,2,Mnemonic,ac,1,4,purple
blue_4,green_4,red_4,purple_4,s1,correct,blue_4,c4,34,2,Mnemonic,ac,1,4,blue
green_3,blue_3,red_3,purple_3,s3,correct,green_3,c3,35,2,Mnemonic,ac,1,4,green
red_1,blue_1,green_1,purple_1,s2,correct,red_1,c1,36,2,Mnemonic,ac,1,4,red
red_4,blue_4,green_4,purple_4,s2,correct,red_4,c4,37,2,Mnemonic,ac,1,4,red
red_2,blue_2,green_2,purple_2,s2,correct,red_2,c2,38,2,Mnemonic,ac,1,4,red
green_1,blue_1,red_1,purple_1,s3,correct,green_1,c1,39,2,Mnemonic,ac,1,4,green
blue_1,green_1,red_1,purple_1,s1,correct,blue_1,c1,40,2,Mnemonic,ac,1,4,blue
purple_4,blue_4,green_4,red_4,s4,correct,purple_4,c4,41,2,Mnemonic,ac,1,4,purple
purple_2,blue_2,green_2,red_2,s4,correct,purple_2,c2,42,2,Mnemonic,ac,1,4,purple
green_2,blue_2,red_2,purple_2,s3,correct,green_2,c2,43,2,Mnemonic,ac,1,4,green
blue_3,green_3,red_3,purple_3,s1,correct,blue_3,c3,44,2,Mnemonic,ac,1,4,blue
blue_2,green_2,red_2,purple_2,s1,correct,blue_2,c2,45,2,Mnemonic,ac,1,4,blue
green_4,blue_4,red_4,purple_4,s3,correct,green_4,c4,46,2,Mnemonic,ac,1,4,green
purple_1,blue_1,green_1,red_1,s4,correct,purple_1,c1,47,2,Mnemonic,ac,1,4,purple
green_1,blue_1,red_1,purple_1,s3,correct,green_1,c1,48,3,Mnemonic,ac,1,4,green
red_1,blue_1,green_1,purple_1,s2,correct,red_1,c1,49,3,Mnemonic,ac,1,4,red
purple_4,blue_4,green_4,red_4,s4,correct,purple_4,c4,50,3,Mnemonic,ac,1,4,purple
red_4,blue_4,green_4,purple_4,s2,correct,red_4,c4,51,3,Mnemonic,ac,1,4,red
purple_2,blue_2,green_2,red_2,s4,correct,purple_2,c2,52,3,Mnemonic,ac,1,4,purple
blue_2,green_2,red_2,purple_2,s1,correct,blue_2,c2,53,3,Mnemonic,ac,1,4,blue
purple_3,blue_3,green_3,red_3,s4,correct,purple_3,c3,54,3,Mnemonic,ac,1,4,purple
purple_1,blue_1,green_1,red_1,s4,correct,purple_1,c1,55,3,Mnemonic,ac,1,4,purple
red_3,blue_3,green_3,purple_3,s2,correct,red_3,c3,56,3,Mnemonic,ac,1,4,red
blue_4,green_4,red_4,purple_4,s1,correct,blue_4,c4,57,3,Mnemonic,ac,1,4,blue
green_4,blue_4,red_4,purple_4,s3,correct,green_4,c4,58,3,Mnemonic,ac,1,4,green
red_2,blue_2,green_2,purple_2,s2,correct,red_2,c2,59,3,Mnemonic,ac,1,4,red
blue_3,green_3,red_3,purple_3,s1,correct,blue_3,c3,60,3,Mnemonic,ac,1,4,blue
blue_1,green_1,red_1,purple_1,s1,correct,blue_1,c1,61,3,Mnemonic,ac,1,4,blue
green_2,blue_2,red_2,purple_2,s3,correct,green_2,c2,62,3,Mnemonic,ac,1,4,green
green_3,blue_3,red_3,purple_3,s3,correct,green_3,c3,63,3,Mnemonic,ac,1,4,green
blue_2,green_2,red_2,purple_2,s15,incorrect,purple_2,c2,0,0,Mnemonic,ad,0,4,blue
blue_1,green_1,red_1,purple_1,s1,correct,blue_1,c1,1,0,Mnemonic,ad,1,4,blue
purple_1,blue_1,green_1,red_1,s16,incorrect,blue_1,c1,2,0,Mnemonic,ad,0,4,purple
purple_2,blue_2,green_2,red_2,s7,correct,purple_2,c2,3,0,Mnemonic,ad,1,4,purple
blue_3,green_3,red_3,purple_3,s5,incorrect,green_3,c3,4,0,Mnemonic,ad,0,4,blue
purple_3,blue_3,green_3,red_3,s2,incorrect,green_3,c3,5,0,Mnemonic,ad,0,4,purple
green_4,blue_4,red_4,purple_4,s12,incorrect,purple_4,c4,6,0,Mnemonic,ad,0,4,green
red_1,blue_1,green_1,purple_1,s13,correct,red_1,c1,7,0,Mnemonic,ad,1,4,red
blue_4,green_4,red_4,purple_4,s3,correct,blue_4,c4,8,0,Mnemonic,ad,1,4,blue
purple_4,blue_4,green_4,red_4,s4,incorrect,blue_4,c4,9,0,Mnemonic,ad,0,4,purple
green_1,blue_1,red_1,purple_1,s1,correct,green_1,c1,10,0,Mnemonic,ad,1,4,green
red_4,blue_4,green_4,purple_4,s11,incorrect,purple_4,c4,11,0,Mnemonic,ad,0,4,red
red_3,blue_3,green_3,purple_3,s11,incorrect,purple_3,c3,12,0,Mnemonic,ad,0,4,red
